country,year,value,unit,category
FI,2008,41780.0,Euros,GDP per capita
FR,2008,32810.0,Euros,GDP per capita
HR,2008,11570.0,Euros,GDP per capita
HU,2008,10750.0,Euros,GDP per capita
IE,2008,44560.0,Euros,GDP per capita
IT,2008,30240.0,Euros,GDP per capita
LT,2008,11110.0,Euros,GDP per capita
LU,2008,99110.0,Euros,GDP per capita
LV,2008,11270.0,Euros,GDP per capita
MT,2008,18080.0,Euros,GDP per capita
NL,2008,41660.0,Euros,GDP per capita
PL,2008,9180.0,Euros,GDP per capita
PT,2008,18040.0,Euros,GDP per capita
RO,2008,7500.0,Euros,GDP per capita
SE,2008,43680.0,Euros,GDP per capita
SI,2008,19980.0,Euros,GDP per capita
SK,2008,13000.0,Euros,GDP per capita
AT,2009,38200.0,Euros,GDP per capita
BE,2009,35420.0,Euros,GDP per capita
BG,2009,5570.0,Euros,GDP per capita
CY,2009,23600.0,Euros,GDP per capita
CZ,2009,14610.0,Euros,GDP per capita
DE,2009,33870.0,Euros,GDP per capita
DK,2009,45680.0,Euros,GDP per capita
EA20,2009,29640.0,Euros,GDP per capita
EE,2009,12850.0,Euros,GDP per capita
EL,2009,20620.0,Euros,GDP per capita
ES,2009,23310.0,Euros,GDP per capita
EU27_2020,2009,26080.0,Euros,GDP per capita
FI,2009,38230.0,Euros,GDP per capita
FR,2009,31720.0,Euros,GDP per capita
HR,2009,10790.0,Euros,GDP per capita
HU,2009,10040.0,Euros,GDP per capita
IE,2009,41890.0,Euros,GDP per capita
IT,2009,28470.0,Euros,GDP per capita
LT,2009,9570.0,Euros,GDP per capita
LU,2009,94170.0,Euros,GDP per capita
LV,2009,9620.0,Euros,GDP per capita
MT,2009,17690.0,Euros,GDP per capita
NL,2009,39930.0,Euros,GDP per capita
PL,2009,9330.0,Euros,GDP per capita
PT,2009,17460.0,Euros,GDP per capita
RO,2009,7140.0,Euros,GDP per capita
SE,2009,41470.0,Euros,GDP per capita
SI,2009,18290.0,Euros,GDP per capita
SK,2009,12260.0,Euros,GDP per capita
AT,2010,38800.0,Euros,GDP per capita
BE,2010,36040.0,Euros,GDP per capita
BG,2010,5690.0,Euros,GDP per capita
CY,2010,23510.0,Euros,GDP per capita
CZ,2010,14970.0,Euros,GDP per capita
DE,2010,35360.0,Euros,GDP per capita
DK,2010,46190.0,Euros,GDP per capita
EA20,2010,30190.0,Euros,GDP per capita
EE,2010,13190.0,Euros,GDP per capita
EL,2010,19420.0,Euros,GDP per capita
ES,2010,23230.0,Euros,GDP per capita
EU27_2020,2010,26600.0,Euros,GDP per capita
FI,2010,39260.0,Euros,GDP per capita
FR,2010,32200.0,Euros,GDP per capita
HR,2010,10670.0,Euros,GDP per capita
HU,2010,10170.0,Euros,GDP per capita
IE,2010,42400.0,Euros,GDP per capita
IT,2010,28780.0,Euros,GDP per capita
LT,2010,9810.0,Euros,GDP per capita
LU,2010,95920.0,Euros,GDP per capita
LV,2010,9470.0,Euros,GDP per capita
MT,2010,18700.0,Euros,GDP per capita
NL,2010,40250.0,Euros,GDP per capita
PL,2010,9740.0,Euros,GDP per capita
PT,2010,17750.0,Euros,GDP per capita
RO,2010,6900.0,Euros,GDP per capita
SE,2010,43480.0,Euros,GDP per capita
SI,2010,18420.0,Euros,GDP per capita
SK,2010,13060.0,Euros,GDP per capita
AT,2011,39800.0,Euros,GDP per capita
BE,2011,36270.0,Euros,GDP per capita
BG,2011,5960.0,Euros,GDP per capita
CY,2011,23020.0,Euros,GDP per capita
CZ,2011,15260.0,Euros,GDP per capita
DE,2011,36690.0,Euros,GDP per capita
DK,2011,46610.0,Euros,GDP per capita
EA20,2011,30640.0,Euros,GDP per capita
EE,2011,14240.0,Euros,GDP per capita
EL,2011,17530.0,Euros,GDP per capita
ES,2011,23000.0,Euros,GDP per capita
EU27_2020,2011,27070.0,Euros,GDP per capita
FI,2011,40010.0,Euros,GDP per capita
FR,2011,32830.0,Euros,GDP per capita
HR,2011,10690.0,Euros,GDP per capita
HU,2011,10400.0,Euros,GDP per capita
IE,2011,42920.0,Euros,GDP per capita
IT,2011,28880.0,Euros,GDP per capita
LT,2011,10670.0,Euros,GDP per capita
LU,2011,94700.0,Euros,GDP per capita
LV,2011,9940.0,Euros,GDP per capita
MT,2011,18800.0,Euros,GDP per capita
NL,2011,40770.0,Euros,GDP per capita
PL,2011,10250.0,Euros,GDP per capita
PT,2011,17460.0,Euros,GDP per capita
RO,2011,7250.0,Euros,GDP per capita
SE,2011,44510.0,Euros,GDP per capita
SI,2011,18510.0,Euros,GDP per capita
SK,2011,13480.0,Euros,GDP per capita
AT,2012,39870.0,Euros,GDP per capita
BE,2012,36120.0,Euros,GDP per capita
BG,2012,6070.0,Euros,GDP per capita
CY,2012,21890.0,Euros,GDP per capita
CZ,2012,15130.0,Euros,GDP per capita
DE,2012,36800.0,Euros,GDP per capita
DK,2012,46430.0,Euros,GDP per capita
EA20,2012,30280.0,Euros,GDP per capita
EE,2012,14810.0,Euros,GDP per capita
EL,2012,16160.0,Euros,GDP per capita
ES,2012,22330.0,Euros,GDP per capita
EU27_2020,2012,26820.0,Euros,GDP per capita
FI,2012,39210.0,Euros,GDP per capita
FR,2012,32740.0,Euros,GDP per capita
HR,2012,10490.0,Euros,GDP per capita
HU,2012,10320.0,Euros,GDP per capita
IE,2012,42580.0,Euros,GDP per capita
IT,2012,27900.0,Euros,GDP per capita
LT,2012,11280.0,Euros,GDP per capita
LU,2012,94080.0,Euros,GDP per capita
LV,2012,10790.0,Euros,GDP per capita
MT,2012,19420.0,Euros,GDP per capita
NL,2012,40230.0,Euros,GDP per capita
PL,2012,10400.0,Euros,GDP per capita
PT,2012,16810.0,Euros,GDP per capita
RO,2012,7420.0,Euros,GDP per capita
SE,2012,44010.0,Euros,GDP per capita
SI,2012,17930.0,Euros,GDP per capita
SK,2012,13670.0,Euros,GDP per capita
AT,2013,39540.0,Euros,GDP per capita
BE,2013,36060.0,Euros,GDP per capita
BG,2013,6130.0,Euros,GDP per capita
CY,2013,20490.0,Euros,GDP per capita
CZ,2013,15130.0,Euros,GDP per capita
DE,2013,36840.0,Euros,GDP per capita
DK,2013,46890.0,Euros,GDP per capita
EA20,2013,30180.0,Euros,GDP per capita
EE,2013,15130.0,Euros,GDP per capita
EL,2013,15900.0,Euros,GDP per capita
ES,2013,22090.0,Euros,GDP per capita
EU27_2020,2013,26790.0,Euros,GDP per capita
FI,2013,38650.0,Euros,GDP per capita
FR,2013,32830.0,Euros,GDP per capita
HR,2013,10510.0,Euros,GDP per capita
HU,2013,10570.0,Euros,GDP per capita
IE,2013,43300.0,Euros,GDP per capita
